p_nombre_barrio,p_Población edad de 0 a 14 ,p_Población edad de 15 a 29,p_Población edad de 30 a 44 ,p_Población edad de 45 a 64 ,p_Población edad de 65 a 79 ,p_Población edad de 80 y + ,p_Tasa absoluta paro registrado,p_Población sin estudios,p_ Población con estudios superiores,p_rankingvulnerabilidad
Gaztambide,0.090487955528104,0.172152122121239,0.220153533927468,0.259948822024177,0.157460513544516,0.099797052854496,0.0615,0.019900230649574,0.47905380035402,0.006220535
Arapiles,0.101705362646394,0.16260530100678,0.241298541195808,0.254037394698993,0.15093486747483,0.089418532977193,0.0596,0.022059193005377,0.459022159690468,0.006186005
Trafalgar,0.10002854463157,0.150267096195408,0.271826448640052,0.26611752232598,0.133262651388492,0.078497736818497,0.0589,0.018991712707182,0.481205603788477,0.006189131
Almagro,0.111015707864034,0.157937269559069,0.222031415728067,0.269407545835648,0.150512652154149,0.089095408859033,0.0439,0.013508395404621,0.513066532003535,0.005806812
Rios Rosas,0.10943103257052,0.154423453732116,0.24300343820474,0.259381123146882,0.144811268438759,0.088949683906984,0.0531,0.018619189997282,0.488991573797227,0.006075922
Vallehermoso,0.107552628953407,0.151451661179288,0.198942432405467,0.262097176494064,0.17295220991719,0.107003891050584,0.0463,0.011312357050133,0.522408357544662,0.005707212
El Pardo,0.111111111111111,0.141493055555556,0.222511574074074,0.26244212962963,0.140335648148148,0.122106481481481,0.0621,0.058448459086079,0.161530286928799,0.006979131
Fuentelareina,0.156153370439085,0.160791589363018,0.160791589363018,0.26252319109462,0.175943104514533,0.083797155225727,0.0331,0.014906303236797,0.557069846678024,0.005867894
Peñagrande,0.123277492569576,0.149171395118436,0.199518148248221,0.277627668197784,0.182518238313969,0.067887057552013,0.0682,0.045951672010994,0.293718506642235,0.006765296
Pilar,0.102638087386645,0.125938299995661,0.231440100663861,0.245064433548835,0.200134507745043,0.094784570659956,0.0708,0.05671508731449,0.22219308825843,0.007262823
La Paz,0.102625580913477,0.132551875203505,0.201314270491075,0.256105141639286,0.244708877245952,0.062694254506705,0.0532,0.01845976348428,0.401608018459763,0.006161796
Valverde,0.234190600732956,0.123553058555722,0.284383526258859,0.240196315848953,0.07035727547182,0.04731922313169,66,0.040795668549906,0.361134651600753,0.006765041
Mirasierra,0.202851082413126,0.174932934057022,0.194335267327968,0.283642148605652,0.112171688814025,0.032066878782207,0.0414,0.019102641755579,0.525602199133392,0.005704454
El Goloso,0.321894150417827,0.090306406685237,0.313203342618384,0.192701949860724,0.040445682451254,0.041448467966574,0.0373,0.026514119676746,0.524017070734586,0.00565296
Casa de Campo,0.095426356589147,0.142945736434109,0.205038759689922,0.307441860465116,0.136589147286822,0.112558139534884,0.0757,0.029165874976249,0.372506175185256,0.006471156
Argüelles,0.094489829943314,0.158552850950317,0.223074358119373,0.271882294098033,0.154759919973324,0.097240746915639,0.0581,0.017823592139339,0.48342050474788,0.006078534
Ciudad Universitaria,0.118220786481953,0.172640864757408,0.191774864881655,0.262533391315152,0.170155929676337,0.084674162887495,0.0486,0.016141921048426,0.52677001758031,0.005822851
Valdezarza,0.118498878237814,0.14800462301992,0.214120606431437,0.269426881501122,0.163165408933306,0.086783601876402,0.0736,0.044936082296733,0.252614815133646,0.006948526
Valdemarín,0.265853658536585,0.152896341463415,0.194817073170732,0.280182926829268,0.070426829268293,0.035823170731707,34,0.011573504063039,0.617335631617828,0.005487481
El Plantío,0.1875,0.161029411764706,0.170955882352941,0.283823529411765,0.146323529411765,0.050367647058824,0.0294,0.015584415584416,0.537662337662338,0.005512394
Aravaca,0.192022334404161,0.184220590484932,0.181772984549488,0.297728315741166,0.106547345877314,0.03770842894294,0.0393,0.021103803259937,0.512839576780097,0.005685093
Cármenes,0.135586319218241,0.174383434155421,0.198464402047464,0.317938576081899,0.10248953001396,0.071137738483015,0.1107,0.080976064656512,0.154258626049114,0.009067394
Puerta del Ángel,0.112689325313429,0.158755465371887,0.239944923545184,0.279102350411866,0.118341908833973,0.091166026523661,0.0961,0.06120036374659,0.183479842376478,0.008990631
Lucero,0.119505184851217,0.162561992786294,0.204266230838593,0.283786068530207,0.133059062218215,0.096821460775473,0.0963,0.071392386741931,0.157873787812998,0.008749993
Aluche,0.107381634602265,0.134837252315762,0.205136368460151,0.25110292445536,0.208790042600931,0.092751777565531,0.0838,0.060475727429127,0.142643428827885,0.008610091
Campamento,0.122688721487647,0.144603065901069,0.222936311436548,0.2697150081652,0.153084338618764,0.086972554390771,0.0733,0.053731343283582,0.167164179104478,0.008397665
Cuatro Vientos,0.224478982691628,0.127870010596962,0.331508300953727,0.253797244789827,0.050335570469799,0.012009890498057,0.0768,0.027122940430925,0.246641318124208,0.007808226
Águilas,0.113909436029901,0.131736526946108,0.196508942898517,0.275468670502133,0.191499354232711,0.090877069390631,0.0841,0.076558992875964,0.125451351615107,0.008425264
Comillas,0.106436533621,0.145046745774901,0.231346637900036,0.27418194893923,0.148327939590076,0.094660194174757,0.0936,0.054370115834396,0.168153854680486,0.009432921
Opañel,0.114982149452173,0.161578234642373,0.231287701588083,0.281238458697526,0.126646559153022,0.084266896466823,0.0862,0.056587574149235,0.148454573837028,0.009488217
San Isidro,0.128080095450537,0.164289049125901,0.230378170877211,0.282409088551123,0.119442859366084,0.075400736629144,0.1155,0.0821098605745,0.134016462287922,0.010080312
